Games	Wins	Winning percent
1	0	0
2	0	0
3	1	0.333333
4	1	0.25
5	1	0.2
6	1	0.166667
7	2	0.285714
8	3	0.375
9	4	0.444444
10	5	0.5
11	6	0.545455
12	6	0.5
13	7	0.538462
14	7	0.5
15	7	0.466667
16	7	0.4375
17	8	0.470588
18	8	0.444444
19	9	0.473684
20	10	0.5
21	11	0.52381
22	11	0.5
23	11	0.478261
24	12	0.5
25	12	0.48
26	12	0.461538
27	13	0.481481
28	13	0.464286
29	13	0.448276
30	13	0.433333
31	13	0.419355
32	14	0.4375
33	15	0.454545
34	16	0.470588
35	17	0.485714
36	18	0.5
37	19	0.513514
38	20	0.526316
39	20	0.512821
40	20	0.5
41	21	0.512195
42	22	0.52381
43	22	0.511628
44	23	0.522727
45	23	0.511111
46	23	0.5
47	23	0.489362
48	23	0.479167
49	24	0.489796
50	25	0.5
51	25	0.490196
52	25	0.480769
53	26	0.490566
54	26	0.481481
55	26	0.472727
56	27	0.482143
57	27	0.473684
58	27	0.465517
59	27	0.457627
60	28	0.466667
61	29	0.47541
62	29	0.467742
63	30	0.47619
64	31	0.484375
65	31	0.476923
66	31	0.469697
67	32	0.477612
68	33	0.485294
69	33	0.478261
70	34	0.485714
71	34	0.478873
72	34	0.472222
73	34	0.465753
74	34	0.459459
75	35	0.466667
76	36	0.473684
77	36	0.467532
78	37	0.474359
79	38	0.481013
80	39	0.4875
81	40	0.493827
82	40	0.487805
83	40	0.481928
84	40	0.47619
85	40	0.470588
86	40	0.465116
87	41	0.471264
88	42	0.477273
89	43	0.483146
90	44	0.488889
91	44	0.483516
92	45	0.48913
93	46	0.494624
94	47	0.5
95	47	0.494737
96	47	0.489583
97	48	0.494845
98	48	0.489796
99	49	0.494949
100	50	0.5
101	51	0.504951
102	51	0.5
103	51	0.495146
104	52	0.5
105	52	0.495238
106	52	0.490566
107	52	0.485981
108	52	0.481481
109	52	0.477064
110	52	0.472727
111	52	0.468468
112	52	0.464286
113	53	0.469027
114	53	0.464912
115	54	0.469565
116	55	0.474138
117	56	0.478632
118	56	0.474576
119	56	0.470588
120	57	0.475
121	57	0.471074
122	58	0.47541
123	59	0.479675
124	59	0.475806
125	59	0.472
126	59	0.468254
127	59	0.464567
128	59	0.460938
129	60	0.465116
130	60	0.461538
131	60	0.458015
132	60	0.454545
133	60	0.451128
134	61	0.455224
135	62	0.459259
136	63	0.463235
137	64	0.467153
138	65	0.471014
139	65	0.467626
140	66	0.471429
141	67	0.475177
142	67	0.471831
143	68	0.475524
144	69	0.479167
145	70	0.482759
146	71	0.486301
147	72	0.489796
148	72	0.486486
149	73	0.489933
150	73	0.486667
151	74	0.490066
152	74	0.486842
153	74	0.48366
154	74	0.480519
155	74	0.477419
156	74	0.474359
157	74	0.471338
158	75	0.474684
159	75	0.471698
160	76	0.475
161	77	0.478261
162	78	0.481481
163	79	0.484663
164	80	0.487805
165	81	0.490909
166	82	0.493976
167	82	0.491018
